number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_class_weight,params_max_features,params_min_samples_leaf,params_n_estimators,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_split0_test_score,user_attrs_split1_test_score,user_attrs_split2_test_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,state
63,0.9216766491457409,2023-09-04 17:37:31.140387,2023-09-04 17:42:35.517211,0 days 00:05:04.376824,0.0,balanced,3,1,500,99.97444732983907,1.4179636637369792,0.9216766491457409,0.9118760400117585,0.9221038538849127,0.9310500535405515,3.737111401717733,0.30876781558196964,0.007833584816564397,COMPLETE
64,0.9216766491457409,2023-09-04 17:38:18.577604,2023-09-04 17:43:23.968044,0 days 00:05:05.390440,0.0,balanced,3,1,500,100.45319724082947,1.2739260991414387,0.9216766491457409,0.9118760400117585,0.9221038538849127,0.9310500535405515,3.056863801343294,0.057589427475617995,0.007833584816564397,COMPLETE
65,0.9216766491457409,2023-09-04 17:39:26.524766,2023-09-04 17:44:12.132878,0 days 00:04:45.608112,0.0,balanced,3,1,500,93.85982735951741,1.2747719287872314,0.9216766491457409,0.9118760400117585,0.9221038538849127,0.9310500535405515,2.8148277136525826,0.09515077752857531,0.007833584816564397,COMPLETE
66,0.9216766491457409,2023-09-04 17:39:39.611061,2023-09-04 17:44:26.571970,0 days 00:04:46.960909,0.0,balanced,3,1,500,94.45683145523071,1.131757100423177,0.9216766491457409,0.9118760400117585,0.9221038538849127,0.9310500535405515,1.9649133874540345,0.055314343877969546,0.007833584816564397,COMPLETE
67,0.9216766491457409,2023-09-04 17:41:05.931380,2023-09-04 17:45:48.993798,0 days 00:04:43.062418,0.0,balanced,3,1,500,93.15254020690918,1.131576697031657,0.9216766491457409,0.9118760400117585,0.9221038538849127,0.9310500535405515,0.6368614215088347,0.0485457037192258,0.007833584816564397,COMPLETE
68,0.9270232892559577,2023-09-04 17:41:19.254489,2023-09-04 17:45:35.479957,0 days 00:04:16.225468,0.0,balanced,3,11,500,84.32796454429626,1.026829481124878,0.9270232892559577,0.9205100495212634,0.925590412272785,0.9349694059738247,1.1078376580979772,0.01595349836946714,0.005989329377720371,COMPLETE
69,0.9275016470068939,2023-09-04 17:41:46.038644,2023-09-04 17:47:44.338374,0 days 00:05:58.299730,0.0,balanced,4,11,500,118.31883072853088,1.0473798116048176,0.9275016470068939,0.9212589849427332,0.925904500650759,0.9353414554271895,2.1521733391292046,0.025423810724858463,0.005859018751667213,COMPLETE
70,0.9275016470068939,2023-09-04 17:41:51.072408,2023-09-04 17:47:49.061017,0 days 00:05:57.988609,0.0,balanced,4,11,500,118.1864680449168,1.0757081508636475,0.9275016470068939,0.9212589849427332,0.925904500650759,0.9353414554271895,3.0478611778380573,0.018345931231855187,0.005859018751667213,COMPLETE
71,0.9275016470068939,2023-09-04 17:42:35.528215,2023-09-04 17:48:37.993546,0 days 00:06:02.465331,0.0,balanced,4,11,500,119.69542050361633,1.0675061543782551,0.9275016470068939,0.9212589849427332,0.925904500650759,0.9353414554271895,4.379136726270453,0.06333867182880254,0.005859018751667213,COMPLETE
72,0.9275016470068939,2023-09-04 17:43:23.981043,2023-09-04 17:49:27.424386,0 days 00:06:03.443343,0.0,balanced,4,11,500,120.02426012357076,1.0571611722310383,0.9275016470068939,0.9212589849427332,0.925904500650759,0.9353414554271895,5.945436554461958,0.013157853369931713,0.005859018751667213,COMPLETE
73,0.9275016470068939,2023-09-04 17:44:12.149398,2023-09-04 17:49:42.017006,0 days 00:05:29.867608,0.0,balanced,4,11,500,108.88614463806152,1.0016987323760986,0.9275016470068939,0.9212589849427332,0.925904500650759,0.9353414554271895,3.496375023618167,0.0419733737699606,0.005859018751667213,COMPLETE
74,0.9275016470068939,2023-09-04 17:44:26.577968,2023-09-04 17:49:56.232221,0 days 00:05:29.654253,0.0,balanced,4,11,500,108.84891215960185,0.9833231767018636,0.9275016470068939,0.9212589849427332,0.925904500650759,0.9353414554271895,2.8936031378933893,0.01614079035867398,0.005859018751667213,COMPLETE
75,0.9275016470068939,2023-09-04 17:45:35.488956,2023-09-04 17:51:06.063292,0 days 00:05:30.574336,0.0,balanced,4,11,500,109.17240810394287,0.9675209522247314,0.9275016470068939,0.9212589849427332,0.925904500650759,0.9353414554271895,3.1529078364014747,0.023836077300090557,0.005859018751667213,COMPLETE
76,0.9106807298696394,2023-09-04 17:45:48.999794,2023-09-04 17:51:19.144004,0 days 00:05:30.144210,0.005,balanced,4,11,500,109.2988052368164,0.6994192600250244,0.9106807298696394,0.9063570944617426,0.9063882524333884,0.9192968427137873,3.358598562160732,0.029828950785205813,0.006092525098409073,COMPLETE
77,0.9106807298696394,2023-09-04 17:47:44.348368,2023-09-04 17:53:47.734019,0 days 00:06:03.385651,0.005,balanced,4,11,500,120.30694389343262,0.7559137344360352,0.9106807298696394,0.9063570944617426,0.9063882524333884,0.9192968427137873,1.3900506762217333,0.05618257320623082,0.006092525098409073,COMPLETE
78,0.9275016470068939,2023-09-04 17:47:49.067017,2023-09-04 17:53:52.732264,0 days 00:06:03.665247,0.0,balanced,4,11,500,120.06623180707295,1.094488302866618,0.9275016470068939,0.9212589849427332,0.925904500650759,0.9353414554271895,1.0591942871346312,0.019639725479944758,0.005859018751667213,COMPLETE
79,0.9275016470068939,2023-09-04 17:48:38.007548,2023-09-04 17:54:36.071504,0 days 00:05:58.063956,0.0,balanced,4,11,500,118.07935253779094,1.211274782816569,0.9275016470068939,0.9212589849427332,0.925904500650759,0.9353414554271895,2.9618740073461898,0.15515416587700767,0.005859018751667213,COMPLETE
80,0.9275016470068939,2023-09-04 17:49:27.431385,2023-09-04 17:55:27.035893,0 days 00:05:59.604508,0.0,balanced,4,11,500,118.7809743086497,1.028503179550171,0.9275016470068939,0.9212589849427332,0.925904500650759,0.9353414554271895,3.278939765108609,0.04025885079074636,0.005859018751667213,COMPLETE
81,0.9106807298696394,2023-09-04 17:49:42.026015,2023-09-04 17:55:10.027129,0 days 00:05:28.001114,0.005,balanced,4,11,500,108.5395876566569,0.7407640616099039,0.9106807298696394,0.9063570944617426,0.9063882524333884,0.9192968427137873,1.885891229366487,0.017472838202620068,0.006092525098409073,COMPLETE
82,0.9275016470068939,2023-09-04 17:49:56.238226,2023-09-04 17:55:23.470241,0 days 00:05:27.232015,0.0,balanced,4,11,500,108.06195441881816,0.9618497689565023,0.9275016470068939,0.9212589849427332,0.925904500650759,0.9353414554271895,2.7958954667009697,0.028393593671540016,0.005859018751667213,COMPLETE
