number,value,datetime_start,datetime_complete,duration,params_rf__ccp_alpha,params_rf__max_features,params_rf__min_samples_leaf,params_rf__n_estimators,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_split0_test_score,user_attrs_split1_test_score,user_attrs_split2_test_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,state
74,0.9710249741991235,2023-09-04 03:10:37.047254,2023-09-04 03:14:03.297883,0 days 00:03:26.250629,0.01,3,31,500,67.81042098999023,0.8859407901763916,0.9710249741991235,0.962629281845197,0.9754576400981894,0.9749880006539842,1.4229469276079776,0.014900773040802343,0.005939746227924958,COMPLETE
75,0.9755416969219485,2023-09-04 03:10:53.493199,2023-09-04 03:14:41.322362,0 days 00:03:47.829163,0.0025,3,21,500,74.853822072347,1.03904922803243,0.9755416969219485,0.9686365055454935,0.9799370056437908,0.9780515795765612,1.6535549640939822,0.022449648060988883,0.0049430057537796805,COMPLETE
76,0.9755416969219485,2023-09-04 03:11:09.892186,2023-09-04 03:14:45.735830,0 days 00:03:35.843644,0.0025,3,21,500,70.65400846799214,1.2410213947296143,0.9755416969219485,0.9686365055454935,0.9799370056437908,0.9780515795765612,2.162739789924856,0.3068212479750018,0.0049430057537796805,COMPLETE
77,0.9755416969219485,2023-09-04 03:12:23.403736,2023-09-04 03:15:59.392363,0 days 00:03:35.988627,0.0025,3,21,500,70.54388785362244,1.4041442076365154,0.9755416969219485,0.9686365055454935,0.9799370056437908,0.9780515795765612,2.8876562067263594,0.3099137093057056,0.0049430057537796805,COMPLETE
78,0.9755062975681593,2023-09-04 03:12:29.764258,2023-09-04 03:16:09.710021,0 days 00:03:39.945763,0.0025,3,31,500,71.95659891764323,1.2981297969818115,0.9755062975681593,0.968712978798776,0.9798158424773934,0.9779900714283085,2.8800908529737064,0.3916530877373377,0.004861086634883221,COMPLETE
79,0.9755062975681593,2023-09-04 03:12:47.779997,2023-09-04 03:16:28.798985,0 days 00:03:41.018988,0.0025,3,31,500,72.2240780989329,1.3927395343780518,0.9755062975681593,0.968712978798776,0.9798158424773934,0.9779900714283085,2.8651324553663953,0.47371912513549624,0.004861086634883221,COMPLETE
80,0.9755416969219485,2023-09-04 03:13:48.587924,2023-09-04 03:17:24.546344,0 days 00:03:35.958420,0.0025,3,21,500,70.15663806597392,1.7784764766693115,0.9755416969219485,0.9686365055454935,0.9799370056437908,0.9780515795765612,1.4251187564069145,1.2195781123510296,0.0049430057537796805,COMPLETE
81,0.9755416969219485,2023-09-04 03:14:03.304400,2023-09-04 03:17:38.703523,0 days 00:03:35.399123,0.0025,3,21,500,70.10805296897888,1.637630542119344,0.9755416969219485,0.9686365055454935,0.9799370056437908,0.9780515795765612,1.2005850334341908,0.545948851860401,0.0049430057537796805,COMPLETE
82,0.9760216068176985,2023-09-04 03:14:29.433345,2023-09-04 03:19:22.683298,0 days 00:04:53.249953,0.0025,4,21,500,96.13539934158325,1.5607669353485107,0.9760216068176985,0.9708137595092257,0.9801468119925307,0.9771042489513387,2.610426915386959,0.7642839174422137,0.003886348127842877,COMPLETE
83,0.9764420741437506,2023-09-04 03:14:41.330354,2023-09-04 03:19:33.831265,0 days 00:04:52.500911,0.0,4,21,500,96.15035271644592,1.292096455891927,0.9764420741437506,0.9719093505502394,0.9785535950317857,0.9788632768492267,2.4518887481933658,0.054318615842931496,0.003207612101277543,COMPLETE
